device1,sensor1,device2,sensor2,start_time,delay
map,03092809_z,acd,03056B18_x,2026-01-13 16:00:00,-1.4428221411070552
map,03092809_z,acd,03056B18_x,2026-01-13 16:10:00,-1.9403470173508675
map,03092809_z,acd,03056B18_x,2026-01-13 16:20:00,-3.6319315965798284
map,03092809_z,acd,03056B18_x,2026-01-13 16:30:00,0.04975248762438122
map,03092809_z,acd,03056B18_x,2026-01-13 16:40:00,-0.8955447772388618
map,03092809_z,acd,03056B18_x,2026-01-13 16:50:00,-1.8905945297264861
map,03092809_z,acd,03056B18_x,2026-01-13 17:00:00,-3.8309415470773533
map,03092809_z,acd,03056B18_x,2026-01-13 17:10:00,0.9452972648632431
map,03092809_z,acd,03056B18_x,2026-01-13 17:20:00,-0.6467823391169558
map,03092809_z,acd,03056B18_x,2026-01-13 17:30:00,0.0
map,03092809_z,acd,03056B18_x,2026-01-13 17:40:00,-1.592079603980199
map,03092809_z,acd,03056B18_x,2026-01-13 17:50:00,0.8457922896144807
map,03092809_z,acd,03056B18_x,2026-01-13 18:00:00,0.04975248762438122
map,03092809_z,acd,03056B18_x,2026-01-13 18:10:00,-0.09950497524876244
map,03092809_z,acd,03056B18_x,2026-01-13 18:20:00,-2.3383669183459173
map,03092809_z,acd,03056B18_x,2026-01-13 18:30:00,-1.7910895544777237
map,03092809_z,acd,03056B18_x,2026-01-13 18:40:00,0.3482674133706685
map,03092809_z,acd,03056B18_x,2026-01-13 18:50:00,-1.0448022401120054
map,03092809_z,acd,03056B18_x,2026-01-13 19:00:00,-0.4477723886194309
map,03092809_z,acd,03056B18_x,2026-01-13 19:10:00,-3.034901745087254
map,03092809_z,acd,03056B18_x,2026-01-13 19:20:00,0.8955447772388618
map,03092809_z,acd,03056B18_x,2026-01-13 19:30:00,-0.14925746287314365
map,03092809_z,acd,03056B18_x,2026-01-13 19:40:00,-0.09950497524876244
map,03092809_z,acd,03056B18_x,2026-01-13 19:50:00,-1.4428221411070552
map,03092809_z,acd,03056B18_x,2026-01-13 20:00:00,0.7960398019900995
map,03092809_z,acd,03056B18_x,2026-01-13 20:10:00,1.64183209160458
map,03092809_z,acd,03056B18_x,2026-01-13 20:20:00,-0.49752487624381214
map,03092809_z,acd,03056B18_x,2026-01-13 20:30:00,-2.1891094554727735
map,03092809_z,acd,03056B18_x,2026-01-13 20:40:00,-2.1891094554727735
map,03092809_z,acd,03056B18_x,2026-01-13 20:50:00,1.5423271163558179
map,03092809_z,acd,03056B18_x,2026-01-13 21:00:00,-0.2985149257462873
map,03092809_z,acd,03056B18_x,2026-01-13 21:10:00,-1.144307215360768
map,03092809_z,acd,03056B18_x,2026-01-13 21:20:00,-2.4378718935946795
map,03092809_z,acd,03056B18_x,2026-01-13 21:30:00,2.089604480224011
map,03092809_z,acd,03056B18_x,2026-01-13 21:40:00,0.2985149257462873
map,03092809_z,acd,03056B18_x,2026-01-13 21:50:00,-0.9950497524876243
map,03092809_z,acd,03056B18_x,2026-01-13 22:00:00,-1.9900995049752486
map,03092809_z,acd,03056B18_x,2026-01-13 22:10:00,-3.930446522326116
map,03092809_z,acd,03056B18_x,2026-01-13 22:20:00,1.0945547277363867
map,03092809_z,acd,03056B18_x,2026-01-13 22:30:00,0.24876243812190607
map,03092809_z,acd,03056B18_x,2026-01-13 22:40:00,-1.0945547277363867
map,03092809_z,acd,03056B18_x,2026-01-13 22:50:00,-1.2438121906095303
map,03092809_z,acd,03056B18_x,2026-01-13 23:00:00,1.7910895544777237
map,03092809_z,acd,03056B18_x,2026-01-13 23:10:00,1.1940597029851492
map,03092809_z,acd,03056B18_x,2026-01-13 23:20:00,-0.5970298514925746
map,03092809_z,acd,03056B18_x,2026-01-13 23:30:00,-0.6467823391169558
map,03092809_z,acd,03056B18_x,2026-01-13 23:40:00,-3.6816840842042096
map,03092809_z,acd,03056B18_x,2026-01-13 23:50:00,2.6368818440922044
map,03092809_z,acd,03056B18_x,2026-01-14 00:00:00,1.0448022401120054
map,03092809_z,acd,03056B18_x,2026-01-14 00:10:00,-0.9452972648632431
map,03092809_z,acd,03056B18_x,2026-01-14 00:20:00,-2.786139306965348
map,03092809_z,acd,03056B18_x,2026-01-14 00:30:00,-1.592079603980199
map,03092809_z,acd,03056B18_x,2026-01-14 00:40:00,0.696534826741337
map,03092809_z,acd,03056B18_x,2026-01-14 00:50:00,0.8955447772388618
map,03092809_z,acd,03056B18_x,2026-01-14 01:00:00,-1.0945547277363867
map,03092809_z,acd,03056B18_x,2026-01-14 01:10:00,-1.1940597029851492
map,03092809_z,acd,03056B18_x,2026-01-14 01:20:00,-2.537376868843442
map,03092809_z,acd,03056B18_x,2026-01-14 01:30:00,1.2438121906095303
map,03092809_z,acd,03056B18_x,2026-01-14 01:40:00,-0.49752487624381214
map,03092809_z,acd,03056B18_x,2026-01-14 01:50:00,-0.19900995049752487
map,03092809_z,acd,03056B18_x,2026-01-14 02:00:00,-2.1393569678483924
map,03092809_z,acd,03056B18_x,2026-01-14 02:10:00,-2.2388619430971546
map,03092809_z,acd,03056B18_x,2026-01-14 02:20:00,1.2438121906095303
map,03092809_z,acd,03056B18_x,2026-01-14 02:30:00,-0.3482674133706685
map,03092809_z,acd,03056B18_x,2026-01-14 02:40:00,-0.9950497524876243
map,03092809_z,acd,03056B18_x,2026-01-14 02:50:00,-2.1891094554727735
map,03092809_z,acd,03056B18_x,2026-01-14 03:00:00,-1.9403470173508675
map,03092809_z,acd,03056B18_x,2026-01-14 03:10:00,1.64183209160458
map,03092809_z,acd,03056B18_x,2026-01-14 03:20:00,-0.39801990099504975
map,03092809_z,acd,03056B18_x,2026-01-14 03:30:00,-1.144307215360768
map,03092809_z,acd,03056B18_x,2026-01-14 03:40:00,-1.4428221411070552
map,03092809_z,acd,03056B18_x,2026-01-14 03:50:00,-3.383169158457923
map,03092809_z,acd,03056B18_x,2026-01-14 04:00:00,1.0448022401120054
map,03092809_z,acd,03056B18_x,2026-01-14 04:10:00,0.4477723886194309
map,03092809_z,acd,03056B18_x,2026-01-14 04:20:00,0.4477723886194309
map,03092809_z,acd,03056B18_x,2026-01-14 04:30:00,-2.3383669183459173
map,03092809_z,acd,03056B18_x,2026-01-14 04:40:00,-2.8856442822141104
map,03092809_z,acd,03056B18_x,2026-01-14 04:50:00,1.1940597029851492
map,03092809_z,acd,03056B18_x,2026-01-14 05:00:00,1.0448022401120054
map,03092809_z,acd,03056B18_x,2026-01-14 05:10:00,-0.19900995049752487
map,03092809_z,acd,03056B18_x,2026-01-14 05:20:00,-1.393069653482674
map,03092809_z,acd,03056B18_x,2026-01-14 05:30:00,-2.8856442822141104
map,03092809_z,acd,03056B18_x,2026-01-14 05:40:00,-3.233911695584779
map,03092809_z,acd,03056B18_x,2026-01-14 05:50:00,1.2438121906095303
map,03092809_z,acd,03056B18_x,2026-01-14 06:00:00,0.19900995049752487
map,03092809_z,acd,03056B18_x,2026-01-14 06:10:00,-0.7462873143657183
map,03092809_z,acd,03056B18_x,2026-01-14 06:20:00,-0.696534826741337
map,03092809_z,acd,03056B18_x,2026-01-14 06:30:00,-1.2935646782339116
map,03092809_z,acd,03056B18_x,2026-01-14 06:40:00,0.8955447772388618
map,03092809_z,acd,03056B18_x,2026-01-14 06:50:00,1.8905945297264861
